time, cadence
2013-04-05T07:26:26.000Z, 35
2013-04-05T07:26:27.000Z, 35
2013-04-05T07:26:28.000Z, 30
2013-04-05T07:26:29.000Z, 32
2013-04-05T07:26:30.000Z, 50
2013-04-05T07:26:31.000Z, 47
2013-04-05T07:26:32.000Z, 47
2013-04-05T07:26:33.000Z, 47
2013-04-05T07:26:34.000Z, 0
2013-04-05T07:26:35.000Z, 0
2013-04-05T07:26:36.000Z, 0
2013-04-05T07:26:37.000Z, 0
2013-04-05T07:26:38.000Z, 26
2013-04-05T07:26:39.000Z, 35
2013-04-05T07:26:40.000Z, 34
2013-04-05T07:26:41.000Z, 34
2013-04-05T07:26:42.000Z, 34
2013-04-05T07:26:43.000Z, 36
2013-04-05T07:26:44.000Z, 40
2013-04-05T07:26:45.000Z, 44
2013-04-05T07:26:46.000Z, 47
2013-04-05T07:26:47.000Z, 47
2013-04-05T07:26:48.000Z, 47
2013-04-05T07:26:49.000Z, 0
2013-04-05T07:26:50.000Z, 0
2013-04-05T07:26:51.000Z, 0
2013-04-05T07:26:52.000Z, 0
2013-04-05T07:26:53.000Z, 0
2013-04-05T07:26:54.000Z, 0
2013-04-05T07:26:55.000Z, 23
2013-04-05T07:26:56.000Z, 61
2013-04-05T07:26:57.000Z, 81
2013-04-05T07:26:58.000Z, 93
2013-04-05T07:26:59.000Z, 98
2013-04-05T07:27:00.000Z, 90
2013-04-05T07:27:01.000Z, 85
2013-04-05T07:27:02.000Z, 67
2013-04-05T07:27:03.000Z, 63
2013-04-05T07:27:04.000Z, 66
2013-04-05T07:27:05.000Z, 66
2013-04-05T07:27:06.000Z, 57
2013-04-05T07:27:07.000Z, 40
2013-04-05T07:27:08.000Z, 65
2013-04-05T07:27:09.000Z, 66
2013-04-05T07:27:10.000Z, 67
2013-04-05T07:27:11.000Z, 67
2013-04-05T07:27:12.000Z, 67
2013-04-05T07:27:13.000Z, 67
2013-04-05T07:27:14.000Z, 67
2013-04-05T07:27:15.000Z, 16
2013-04-05T07:27:16.000Z, 0
2013-04-05T07:27:17.000Z, 0
2013-04-05T07:27:18.000Z, 0
2013-04-05T07:27:19.000Z, 28
2013-04-05T07:27:20.000Z, 35
2013-04-05T07:27:21.000Z, 44
2013-04-05T07:27:22.000Z, 48
2013-04-05T07:27:23.000Z, 52
2013-04-05T07:27:24.000Z, 52
2013-04-05T07:27:25.000Z, 52
2013-04-05T07:27:26.000Z, 0
2013-04-05T07:27:27.000Z, 0
2013-04-05T07:27:28.000Z, 0
2013-04-05T07:27:29.000Z, 0
2013-04-05T07:27:30.000Z, 0
2013-04-05T07:27:31.000Z, 0
2013-04-05T07:27:32.000Z, 0
2013-04-05T07:27:33.000Z, 0
2013-04-05T07:27:34.000Z, 0
2013-04-05T07:27:35.000Z, 0
2013-04-05T07:27:36.000Z, 0
2013-04-05T07:27:37.000Z, 0
2013-04-05T07:28:30.000Z, 105
2013-04-05T07:28:31.000Z, 87
2013-04-05T07:28:32.000Z, 81
2013-04-05T07:28:33.000Z, 42
2013-04-05T07:28:34.000Z, 47
2013-04-05T07:28:35.000Z, 61
2013-04-05T07:28:36.000Z, 71
2013-04-05T07:28:37.000Z, 79
2013-04-05T07:28:38.000Z, 79
2013-04-05T07:28:39.000Z, 51
2013-04-05T07:28:40.000Z, 73
2013-04-05T07:28:41.000Z, 103
2013-04-05T07:28:42.000Z, 103
2013-04-05T07:28:43.000Z, 84
2013-04-05T07:28:44.000Z, 85
2013-04-05T07:28:45.000Z, 95
2013-04-05T07:28:46.000Z, 97
2013-04-05T07:28:47.000Z, 97
2013-04-05T07:28:48.000Z, 48
2013-04-05T07:28:49.000Z, 0
2013-04-05T07:28:50.000Z, 0
2013-04-05T07:28:51.000Z, 81
2013-04-05T07:28:52.000Z, 89
2013-04-05T07:28:53.000Z, 97
2013-04-05T07:28:54.000Z, 101
2013-04-05T07:28:55.000Z, 98
2013-04-05T07:28:56.000Z, 94
2013-04-05T07:28:57.000Z, 86
2013-04-05T07:28:58.000Z, 68
2013-04-05T07:28:59.000Z, 67
2013-04-05T07:29:00.000Z, 69
2013-04-05T07:29:01.000Z, 69
2013-04-05T07:29:02.000Z, 70
2013-04-05T07:29:03.000Z, 70
2013-04-05T07:29:04.000Z, 70
2013-04-05T07:29:05.000Z, 0
2013-04-05T07:29:06.000Z, 0
2013-04-05T07:29:07.000Z, 0
2013-04-05T07:29:08.000Z, 0
2013-04-05T07:29:09.000Z, 0
2013-04-05T07:29:10.000Z, 35
2013-04-05T07:29:11.000Z, 50
2013-04-05T07:29:12.000Z, 56
2013-04-05T07:29:13.000Z, 61
2013-04-05T07:29:14.000Z, 64
2013-04-05T07:29:15.000Z, 68
2013-04-05T07:29:16.000Z, 67
2013-04-05T07:29:17.000Z, 67
2013-04-05T07:29:18.000Z, 67
2013-04-05T07:29:19.000Z, 67
2013-04-05T07:29:20.000Z, 0
2013-04-05T07:29:21.000Z, 0
2013-04-05T07:29:22.000Z, 0
2013-04-05T07:29:23.000Z, 0
2013-04-05T07:29:24.000Z, 0
2013-04-05T07:29:25.000Z, 0
2013-04-05T07:29:26.000Z, 0
2013-04-05T07:29:27.000Z, 0
2013-04-05T07:29:28.000Z, 0
2013-04-05T07:29:29.000Z, 0
2013-04-05T07:29:30.000Z, 0
2013-04-05T07:29:31.000Z, 0
2013-04-05T07:29:32.000Z, 0
2013-04-05T07:29:33.000Z, 0
2013-04-05T07:29:34.000Z, 0
2013-04-05T07:29:35.000Z, 0
2013-04-05T07:29:36.000Z, 0
2013-04-05T07:29:37.000Z, 0
2013-04-05T07:29:38.000Z, 0
2013-04-05T07:29:39.000Z, 0
2013-04-05T07:29:40.000Z, 0
2013-04-05T07:29:41.000Z, 0
2013-04-05T07:29:42.000Z, 0
2013-04-05T07:29:43.000Z, 0
2013-04-05T07:29:44.000Z, 21
2013-04-05T07:29:45.000Z, 43
2013-04-05T07:29:46.000Z, 43
2013-04-05T07:29:47.000Z, 21
2013-04-05T07:29:48.000Z, 0
2013-04-05T07:29:49.000Z, 46
2013-04-05T07:29:50.000Z, 46
2013-04-05T07:29:51.000Z, 32
2013-04-05T07:29:52.000Z, 71
2013-04-05T07:29:53.000Z, 86
2013-04-05T07:29:54.000Z, 98
2013-04-05T07:29:55.000Z, 102
2013-04-05T07:29:56.000Z, 91
2013-04-05T07:29:57.000Z, 85
2013-04-05T07:29:58.000Z, 87
2013-04-05T07:29:59.000Z, 88
2013-04-05T07:30:00.000Z, 89
2013-04-05T07:30:01.000Z, 89
2013-04-05T07:30:02.000Z, 85
2013-04-05T07:30:03.000Z, 77
2013-04-05T07:30:04.000Z, 73
2013-04-05T07:30:05.000Z, 70
2013-04-05T07:30:06.000Z, 70
2013-04-05T07:30:07.000Z, 70
2013-04-05T07:30:08.000Z, 69
2013-04-05T07:30:09.000Z, 69
2013-04-05T07:30:10.000Z, 69
2013-04-05T07:30:11.000Z, 69
2013-04-05T07:30:12.000Z, 69
2013-04-05T07:30:13.000Z, 69
2013-04-05T07:30:14.000Z, 69
2013-04-05T07:30:15.000Z, 68
2013-04-05T07:30:16.000Z, 68
2013-04-05T07:30:17.000Z, 68
2013-04-05T07:30:18.000Z, 51
2013-04-05T07:30:19.000Z, 0
2013-04-05T07:30:20.000Z, 0
2013-04-05T07:30:21.000Z, 0
2013-04-05T07:30:22.000Z, 0
2013-04-05T07:30:23.000Z, 0
2013-04-05T07:30:24.000Z, 0
2013-04-05T07:30:25.000Z, 31
2013-04-05T07:30:26.000Z, 35
2013-04-05T07:30:27.000Z, 39
2013-04-05T07:30:28.000Z, 44
2013-04-05T07:30:29.000Z, 46
2013-04-05T07:30:30.000Z, 56
2013-04-05T07:30:31.000Z, 75
2013-04-05T07:30:32.000Z, 75
2013-04-05T07:30:33.000Z, 75
2013-04-05T07:30:34.000Z, 75
2013-04-05T07:30:35.000Z, 0
2013-04-05T07:30:36.000Z, 0
2013-04-05T07:30:37.000Z, 0
2013-04-05T07:30:38.000Z, 0
2013-04-05T07:30:39.000Z, 0
2013-04-05T07:30:40.000Z, 0
2013-04-05T07:30:41.000Z, 0
2013-04-05T07:30:42.000Z, 0
2013-04-05T07:30:43.000Z, 0
2013-04-05T07:30:44.000Z, 0
2013-04-05T07:31:06.000Z, 80
2013-04-05T07:31:07.000Z, 79
2013-04-05T07:31:08.000Z, 79
2013-04-05T07:31:09.000Z, 40
2013-04-05T07:31:10.000Z, 28
2013-04-05T07:31:11.000Z, 28
2013-04-05T07:31:12.000Z, 39
2013-04-05T07:31:13.000Z, 53
2013-04-05T07:31:14.000Z, 59
2013-04-05T07:31:15.000Z, 64
2013-04-05T07:31:16.000Z, 65
2013-04-05T07:31:17.000Z, 65
2013-04-05T07:31:18.000Z, 32
2013-04-05T07:31:19.000Z, 0
2013-04-05T07:31:20.000Z, 0
2013-04-05T07:31:21.000Z, 39
2013-04-05T07:31:22.000Z, 59
2013-04-05T07:31:23.000Z, 70
2013-04-05T07:31:24.000Z, 76
2013-04-05T07:31:25.000Z, 77
2013-04-05T07:31:26.000Z, 77
2013-04-05T07:31:27.000Z, 78
2013-04-05T07:31:28.000Z, 71
2013-04-05T07:31:29.000Z, 67
2013-04-05T07:31:30.000Z, 65
2013-04-05T07:31:31.000Z, 64
2013-04-05T07:31:32.000Z, 63
2013-04-05T07:31:33.000Z, 61
2013-04-05T07:31:34.000Z, 59
2013-04-05T07:31:35.000Z, 59
2013-04-05T07:31:36.000Z, 59
2013-04-05T07:31:37.000Z, 14
2013-04-05T07:31:38.000Z, 0
2013-04-05T07:31:39.000Z, 10
2013-04-05T07:31:40.000Z, 43
2013-04-05T07:31:41.000Z, 48
2013-04-05T07:31:42.000Z, 51
2013-04-05T07:31:43.000Z, 52
2013-04-05T07:31:44.000Z, 52
2013-04-05T07:31:45.000Z, 13
2013-04-05T07:31:46.000Z, 0
2013-04-05T07:31:47.000Z, 0
2013-04-05T07:31:48.000Z, 0
2013-04-05T07:31:49.000Z, 0
2013-04-05T07:31:50.000Z, 0
2013-04-05T07:31:51.000Z, 0
2013-04-05T07:31:52.000Z, 0
2013-04-05T07:31:53.000Z, 52
2013-04-05T07:31:54.000Z, 57
2013-04-05T07:31:55.000Z, 60
2013-04-05T07:31:56.000Z, 62
2013-04-05T07:31:57.000Z, 64
2013-04-05T07:31:58.000Z, 66
2013-04-05T07:31:59.000Z, 69
2013-04-05T07:32:00.000Z, 71
2013-04-05T07:32:01.000Z, 72
2013-04-05T07:32:02.000Z, 72
2013-04-05T07:32:03.000Z, 71
2013-04-05T07:32:04.000Z, 71
2013-04-05T07:32:05.000Z, 70
2013-04-05T07:32:06.000Z, 69
2013-04-05T07:32:07.000Z, 70
2013-04-05T07:32:08.000Z, 68
2013-04-05T07:32:09.000Z, 68
2013-04-05T07:32:10.000Z, 68
2013-04-05T07:32:11.000Z, 68
2013-04-05T07:32:12.000Z, 0
2013-04-05T07:32:13.000Z, 0
2013-04-05T07:32:14.000Z, 0
2013-04-05T07:32:15.000Z, 52
2013-04-05T07:32:16.000Z, 60
2013-04-05T07:32:17.000Z, 66
2013-04-05T07:32:18.000Z, 75
2013-04-05T07:32:19.000Z, 81
2013-04-05T07:32:20.000Z, 81
2013-04-05T07:32:21.000Z, 81
2013-04-05T07:32:22.000Z, 80
2013-04-05T07:32:23.000Z, 79
2013-04-05T07:32:24.000Z, 78
2013-04-05T07:32:25.000Z, 76
2013-04-05T07:32:26.000Z, 74
2013-04-05T07:32:27.000Z, 73
2013-04-05T07:32:28.000Z, 72
2013-04-05T07:32:29.000Z, 71
2013-04-05T07:32:30.000Z, 70
2013-04-05T07:32:31.000Z, 69
2013-04-05T07:32:32.000Z, 67
2013-04-05T07:32:33.000Z, 65
2013-04-05T07:32:34.000Z, 64
2013-04-05T07:32:35.000Z, 70
2013-04-05T07:32:36.000Z, 74
2013-04-05T07:32:37.000Z, 71
2013-04-05T07:32:38.000Z, 72
2013-04-05T07:32:39.000Z, 72
2013-04-05T07:32:40.000Z, 18
2013-04-05T07:32:41.000Z, 0
2013-04-05T07:32:42.000Z, 0
2013-04-05T07:32:43.000Z, 0
2013-04-05T07:32:44.000Z, 0
2013-04-05T07:32:45.000Z, 0
2013-04-05T07:32:46.000Z, 0
2013-04-05T07:33:06.000Z, 111
2013-04-05T07:33:07.000Z, 118
2013-04-05T07:33:08.000Z, 118
2013-04-05T07:33:09.000Z, 29
2013-04-05T07:33:10.000Z, 13
2013-04-05T07:33:11.000Z, 59
2013-04-05T07:33:12.000Z, 75
2013-04-05T07:33:13.000Z, 79
2013-04-05T07:33:14.000Z, 81
2013-04-05T07:33:15.000Z, 77
2013-04-05T07:33:16.000Z, 70
2013-04-05T07:33:17.000Z, 66
2013-04-05T07:33:18.000Z, 67
2013-04-05T07:33:19.000Z, 67
2013-04-05T07:33:20.000Z, 68
2013-04-05T07:33:21.000Z, 68
2013-04-05T07:33:22.000Z, 68
2013-04-05T07:33:23.000Z, 0
2013-04-05T07:33:24.000Z, 0
2013-04-05T07:33:25.000Z, 0
2013-04-05T07:33:26.000Z, 0
2013-04-05T07:33:27.000Z, 0
2013-04-05T07:33:28.000Z, 0
2013-04-05T07:33:29.000Z, 0
2013-04-05T07:33:30.000Z, 0
2013-04-05T07:33:31.000Z, 0
2013-04-05T07:33:32.000Z, 0
2013-04-05T07:33:33.000Z, 0
2013-04-05T07:33:34.000Z, 0
2013-04-05T07:33:35.000Z, 0
2013-04-05T07:33:36.000Z, 0
2013-04-05T07:33:37.000Z, 0
